time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-07T18:34:29.010Z,38.8381653,-122.8361664,1.93,0.93,md,9.0,116.0,0.0006786,0.01,nc,nc73868685,2023-04-07T18:58:10.379Z,"10km NW of The Geysers, CA",earthquake,0.39,1.04,0.23,11.0,automatic,nc,nc
2023-04-07T18:30:17.530Z,38.841835,-122.878334,2.06,0.63,md,12.0,112.0,0.007804,0.03,nc,nc73868680,2023-04-07T18:31:55.774Z,"13km ENE of Cloverdale, CA",earthquake,0.36,0.57,0.35,12.0,automatic,nc,nc
2023-04-07T18:21:45.204Z,63.0988,-149.0646,72.1,1.0,ml,,,,0.91,ak,ak0234gpz2bc,2023-04-07T18:23:58.015Z,"33 km S of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-04-07T18:19:27.970Z,38.8326683,-122.7935028,1.63,0.7,md,8.0,88.0,0.006241,0.0,nc,nc73868670,2023-04-07T18:21:06.223Z,"6km W of Cobb, CA",earthquake,0.39,1.17,0.22,9.0,automatic,nc,nc
2023-04-07T18:11:37.722Z,63.1013,-149.093,66.4,1.5,ml,,,,0.46,ak,ak0234gpwwks,2023-04-07T18:13:22.718Z,"33 km SSW of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-07T18:03:40.220Z,34.0288333,-116.4085,8.03,1.3,ml,41.0,65.0,0.04322,0.21,ci,ci40437744,2023-04-07T18:14:52.480Z,"10km SSE of Yucca Valley, CA",earthquake,0.31,0.66,0.234,27.0,automatic,ci,ci
2023-04-07T17:49:53.413Z,63.9325,-149.0323,0.0,1.6,ml,,,,0.79,ak,ak0234gpjnd5,2023-04-07T17:52:09.758Z,"9 km NNW of Healy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-04-07T17:43:33.990Z,37.6166667,-122.4726667,8.64,1.2,md,21.0,64.0,0.02056,0.05,nc,nc73868665,2023-04-07T19:05:14.418Z,"1km ENE of Pacifica, CA",earthquake,0.33,0.29,0.144,15.0,reviewed,nc,nc
2023-04-07T17:41:21.405Z,61.492,-152.1284,9.5,0.2,ml,,,,0.21,ak,ak0234gphoqi,2023-04-07T17:52:05.343Z,Southern Alaska,earthquake,,0.2,,,reviewed,ak,ak
2023-04-07T17:38:01.730Z,38.7806664,-122.754837,0.93,0.8,md,8.0,90.0,0.01309,0.01,nc,nc73868655,2023-04-07T18:21:13.155Z,"0km NNE of The Geysers, CA",earthquake,0.37,0.76,0.14,8.0,automatic,nc,nc
2023-04-07T17:33:41.301Z,66.1249,-148.332,11.0,1.2,ml,,,,0.86,ak,ak0234gpg71m,2023-04-07T17:45:23.364Z,"36 km ENE of Stevens Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-07T17:20:12.380Z,64.7564,-149.0596,17.7,0.7,ml,,,,0.37,ak,ak0234gpdcgp,2023-04-07T17:22:43.412Z,"17 km N of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-04-07T17:16:29.810Z,33.7895,-117.7835,12.56,1.24,ml,29.0,96.0,0.03907,0.24,ci,ci40437712,2023-04-07T17:20:12.680Z,"3km NNE of North Tustin, CA",earthquake,0.55,0.71,0.267,20.0,automatic,ci,ci
2023-04-07T17:14:56.190Z,44.7263333,-111.0061667,10.5,1.64,md,21.0,55.0,0.03299,0.14,uu,uu60536556,2023-04-07T18:19:24.410Z,"10 km NE of West Yellowstone, Montana",earthquake,0.32,0.5,0.21,15.0,reviewed,uu,uu
2023-04-07T17:07:09.814Z,51.848,-178.1023,5.0,2.7,ml,11.0,128.0,0.042,0.45,us,us6000k2q2,2023-04-07T18:15:04.040Z,"101 km W of Adak, Alaska",earthquake,1.18,1.825,0.148,14.0,reviewed,us,us
2023-04-07T17:06:44.890Z,19.2455005645752,-155.397506713867,31.1800003051758,1.92999995,md,31.0,135.0,,0.150000006,hv,hv73358452,2023-04-07T17:10:04.240Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.58,1.01999998,1.23000002,12.0,automatic,hv,hv
2023-04-07T16:59:47.960Z,37.5385,-118.8706667,5.08,0.6,md,9.0,293.0,0.06113,0.02,nc,nc73868645,2023-04-07T18:44:12.297Z,"14km SE of Mammoth Lakes, CA",earthquake,3.08,2.22,0.219,9.0,reviewed,nc,nc
2023-04-07T16:56:25.464Z,64.2127,-150.411,0.0,1.5,ml,,,,0.76,ak,ak0234goznn6,2023-04-07T16:58:33.781Z,"59 km W of Clear, Alaska, Alaska",earthquake,,0.3,,,automatic,ak,ak
